2026-03-12 00:01:29 | INFO     | ai_quant_trader | HealthMonitor initialized
2026-03-12 00:01:29 | INFO     | ai_quant_trader | SystemOrchestrator initialized
2026-03-12 00:01:29 | INFO     | ai_quant_trader | ============================================================
2026-03-12 00:01:29 | INFO     | ai_quant_trader | AI QUANT TRADER v1.0 - LIVE MODE
2026-03-12 00:01:29 | INFO     | ai_quant_trader | Trading Environment: testnet
2026-03-12 00:01:29 | INFO     | ai_quant_trader | ============================================================
2026-03-12 00:01:29 | INFO     | ai_quant_trader | Exchange API check: OK
2026-03-12 00:01:30 | INFO     | ai_quant_trader | Proxy check: OK
2026-03-12 00:01:30 | INFO     | ai_quant_trader | Memory usage: 67.3%
2026-03-12 00:01:30 | INFO     | ai_quant_trader | AI service check: OK
2026-03-12 00:01:30 | INFO     | ai_quant_trader | Starting Live Trading mode...
2026-03-12 00:01:30 | INFO     | ai_quant_trader | Initializing live trading components...
2026-03-12 00:01:30 | INFO     | ai_quant_trader | SOCKS5 proxy configured: socks5h://127.0.0.1:20081
2026-03-12 00:01:30 | INFO     | ai_quant_trader | Binance client initialized with base URL: https://demo-fapi.binance.com
2026-03-12 00:01:30 | INFO     | ai_quant_trader | MarketDataService initialized for BTCUSDT with limit 200
2026-03-12 00:01:30 | INFO     | ai_quant_trader | KlineCache initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | IndicatorEngine initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | FeatureCompressor initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | LLMClient initialized with base_url: http://192.168.1.114:1234/v1, model: qwen/qwen3-14b
2026-03-12 00:01:30 | INFO     | ai_quant_trader | DecisionEngine initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | OrderBookAgent initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | LiquidityAgent initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | ProfitOptimizer initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | PositionManager initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | RiskManager initialized: max_size=0.05, max_dd=-8.0%, max_loss=-10.0%, max_hold=120min
2026-03-12 00:01:30 | INFO     | ai_quant_trader | ExecutionPlanner initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | OrderExecutor initialized (testnet=True, env=testnet)
2026-03-12 00:01:30 | INFO     | ai_quant_trader | Loaded 215 trades from D:\Quant Agent\ai_quant_trader\data\trade_history.json
2026-03-12 00:01:30 | INFO     | ai_quant_trader | TradeMemory initialized with 215 historical trades
2026-03-12 00:01:30 | INFO     | ai_quant_trader | RewardEngine initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | StrategyOptimizer initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | All live components initialized
2026-03-12 00:01:30 | INFO     | ai_quant_trader | TradeGuard config: interval=300s, trend_confirm=3
2026-03-12 00:01:30 | INFO     | ai_quant_trader | TradeGuard initialized: interval=300s, trend_confirm=3
2026-03-12 00:01:30 | INFO     | ai_quant_trader | Scheduler initialized with 60s interval
2026-03-12 00:01:30 | INFO     | ai_quant_trader | Monitoring symbols: ['BTCUSDT']
2026-03-12 00:01:30 | INFO     | ai_quant_trader | Timeframes: ['1m', '5m', '15m']
2026-03-12 00:01:30 | INFO     | ai_quant_trader | TradeGuard: interval=300s, trend_confirm=3
2026-03-12 00:01:30 | INFO     | ai_quant_trader | ============================================================
